_id,title,link,summary,published,credit,author,updated,_source.name,_source.domain,_source.rss,_source.url,_fetched,_timestamp
ObjectId(5f83647cd1e8e3d56c3054c0),"Antisemitic graffiti spray-painted in Paris, suspect arrested",https://www.jpost.com/diaspora/antisemitism/antisemitic-graffiti-spray-painted-in-paris-suspect-arrested-645373,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464839"" /><br />A 31-year-old man was arrested at the scene and is suspected of spray-painting the 20 red swastikas on walls and columns in Place de la Concorde and Rue de Rivoli.<br />","Sun, 11 Oct 2020 19:00:56 GMT",,By EVE YOUNG,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T20:01:16.757Z,2020-10-11T19:00:56.000Z
ObjectId(5f83647dd1e8e3d56c3054dd),Man arrested for threatening anti-Netanyahu protesters on Telegram,https://www.haaretz.com/israel-news/.premium-man-arrested-for-threatening-anti-netanyahu-protesters-on-telegram-1.9227051,"Ashkelon resident, who allegedly sent threatening messages to members of 'Black Flags' protest movement, was released on condition that he not approach demonstration or other gathering for 100 days","Sun, 11 Oct 2020 22:40:28 +0300",,Almog Ben Zikri,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T08:01:35.494Z,2020-10-11T19:40:28.000Z
ObjectId(5f83647dd1e8e3d56c3054df),"In absence of Palestinian parliament, tribalism thrives, anti-corruption NGO says",https://www.haaretz.com/israel-news/.premium-in-absence-of-palestinian-parliament-tribalism-thrives-anti-corruption-ngo-says-1.9226586,"Report by AMAN criticizes power of clans, but also reflects a vibrant society that voices domestic criticism despite authoritarian self-rule in parts of West Bank and in Gaza","Sun, 11 Oct 2020 22:18:14 +0300",,Amira Hass,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T06:01:33.118Z,2020-10-11T19:18:14.000Z
ObjectId(5f837288d1e8e3d56c30683f),Two high ranking police officers caught breaking coronavirus lockdown rules,https://www.jpost.com/israel-news/two-high-ranking-police-officers-caught-breaking-coronavirus-lockdown-rules-645375,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464561"" /><br />The meal itself took place in a small, air-conditioned room with no windows, as waiters came in and out of the room intermittently.<br />","Sun, 11 Oct 2020 20:11:24 GMT",,By IDAN ZONSHINE,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T13:01:19.477Z,2020-10-11T20:11:24.000Z
ObjectId(5f837288d1e8e3d56c306841),"Brawl breaks out at IDF training base, 21 injured",https://www.jpost.com/israel-news/brawl-breaks-out-at-har-keren-training-base-21-injured-645378,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/411461"" /><br />According to one of the witnesses, one of those involved even went so far as to load his weapon.<br />","Sun, 11 Oct 2020 19:47:33 GMT",,By JERUSALEM POST STAFF,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T05:00:54.965Z,2020-10-11T19:47:33.000Z
ObjectId(5f837288d1e8e3d56c306846),Pro-Iranian regime German MP who agitates for BDS urged to be banned,https://www.jpost.com/diaspora/antisemitism/pro-iranian-regime-german-mp-who-agitates-for-bds-urged-to-be-banned-645379,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/464841"" /><br />""Niels Annen acts as a door opener for the Iranian mullahs"" and shows ""hostilities against Israel.”<br />","Mon, 12 Oct 2020 12:53:40 GMT",,By BENJAMIN WEINTHAL,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-13T05:01:12.556Z,2020-10-12T12:53:40.000Z
ObjectId(5f838097d1e8e3d56c307b63),Cabinet to vote on UAE peace agreement today,https://www.jpost.com/israel-news/cabinet-to-vote-on-uae-peace-agreement-today-645333,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/463598"" /><br />Monday’s vote will only be on peace with the UAE because the peace treaty with Bahrain has yet to be written.<br />","Sun, 11 Oct 2020 21:03:12 GMT",,By LAHAV HARKOV,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T09:01:03.948Z,2020-10-11T21:03:12.000Z
ObjectId(5f838097d1e8e3d56c307b6b),Litzman could be appointed to deputy Housing and Construction Minister,https://www.jpost.com/israel-news/litzman-to-be-appointed-to-deputy-housing-and-construction-minister-645380,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/454915"" /><br />The new appointments come amid Litzman's desire to return to government following his recent resignation.<br />","Mon, 12 Oct 2020 02:51:17 GMT",,By CELIA JEAN,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T05:00:54.244Z,2020-10-12T02:51:17.000Z
ObjectId(5f838099d1e8e3d56c307ba9),"Israel's coronavirus cabinet to debate reopening preschools, kindergartens",https://www.haaretz.com/israel-news/.premium-coronavirus-cabinet-debates-reopening-preschools-kindergartens-by-next-week-1.9227125,The Education Ministry has not released its own plans for reopening schools; previous restrictions at the beginning of the school year proved unfeasible,"Sun, 11 Oct 2020 23:53:18 +0300",,Shira Kadari-Ovadia,,Haaretz,ilnews_en,https://www.haaretz.com/cmlink/1.4605045,https://www.haaretz.com/,2020-10-15T09:01:41.624Z,2020-10-11T20:53:18.000Z
ObjectId(5f839cbcd1e8e3d56c30a185),"Israel's oldest man dies at 117, death attributed to coronavirus isolation",https://www.jpost.com/israel-news/israels-oldest-man-dies-at-117-death-attributed-to-coronavirus-isolation-645381,"<img align=""right"" src=""https://images.jpost.com/image/upload/f_auto,fl_lossy/t_Article2016_ControlFaceDetect/460860"" /><br />Since the coronavirus outbreak, he has been confined to his home.<br />","Mon, 12 Oct 2020 11:48:25 GMT",,By JERUSALEM POST STAFF,,Jerusalem Post,ilnews_en,https://www.jpost.com/rss/rssfeedsfrontpage.aspx,https://www.jpost.com/,2020-10-12T14:01:18.549Z,2020-10-12T11:48:25.000Z
