_id,title,link,summary,published,credit,author,updated,_source.name,_source.domain,_source.rss,_source.url,_fetched,_timestamp
ObjectId(5f7b97159e3182ef83b7776e),בלארוס: 100 אלף הפגינו במינסק,,הנשיא לוקאשנקו נחת בלשכתו כשהוא חמוש בתת מקלע,2020-08-23T22:53:27Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.697Z,2020-08-23T22:53:27.000Z
ObjectId(5f7b97159e3182ef83b77770),תופעה חדשה בחברה הערבית: גירושים בגלל קורונה,,האבטלה הגואה והמצב הכלכלי המידרדר שיצר המשבר מביאים לפירוק משפחות,2020-09-09T22:47:09Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.780Z,2020-09-09T22:47:09.000Z
ObjectId(5f7b97159e3182ef83b77772),מה חושבים ערביי ישראל על ההסכם עם האמירויות?,,"המתנגדים להסכם חוששים שהוא ישכיח את הבעיה הפלסטינית: ""זו הכרה בישראל""",2020-09-03T00:07:54Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.614Z,2020-09-03T00:07:54.000Z
ObjectId(5f7b97159e3182ef83b77774),פינוי מאחז ביצהר: לוחמת נפצעה קל מיידוי אבנים,,"עשרות מתיישבים רעולי פנים תקפו באבנים ובקבוקי צבע את כוחות מג""ב",2020-08-12T09:26:46Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.569Z,2020-08-12T09:26:46.000Z
ObjectId(5f7b97159e3182ef83b77776),דרשו מאונ' חיפה: סלקו מרצה שנחשד בהטרדה מינית,,מרצה בכיר באוניברסיטה אמור להמשיך ללמד בשנה הקרובה למרות התלונה נגדו,2020-09-03T14:29:24Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.584Z,2020-09-03T14:29:24.000Z
ObjectId(5f7b97159e3182ef83b77778),"אישום: הראשון פרש מזרן ואנס, השני שילם והצטרף",,שוהה בלתי חוקי מואשם באונס בפתח תקווה ובגביית כסף מגבר נוסף שאנס,2020-09-03T14:30:46Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.587Z,2020-09-03T14:30:46.000Z
ObjectId(5f7b97159e3182ef83b7777a),"נערי גבעות תקפו שוטרי מג""ב, שוטרת נפצעה קל",,"התקרית התרחשה במהלך פינוי סמוך ליצהר. מג""ב: ""אירוע אלימות חמור""",2020-08-12T09:15:19Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.580Z,2020-08-12T09:15:19.000Z
ObjectId(5f7b97159e3182ef83b7777c),"ביקורת בש""ס וביהדות התורה על התנהלות גמזו",,זאת לאחר שממונה הקורונה אמר כי דברי הרב קניבסקי מסכנים את הציבור החרדי,2020-09-02T14:38:32Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.627Z,2020-09-02T14:38:32.000Z
ObjectId(5f7b97159e3182ef83b7777f),לילה בשכונות החרדיות בירושלים שנכנסו לעוצר,,התושבים התקשו לשמור על הכללים החדשים - וחזרו על הטענות לאפליה,2020-09-09T22:39:25Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.796Z,2020-09-09T22:39:25.000Z
ObjectId(5f7b97159e3182ef83b77781),איראן: הפיצוץ בנתנז - תוצאה של חבלה,,בהרוז כמאלאונדי: הוקמו שני אולמות כדי להשלים את העבודה שהתבצעה בנתנז,2020-08-23T19:36:08Z,,,,כאן,ilnews,https://www.kan.org.il/rss/allnews.ashx,https://www.kan.org.il,2020-10-10T09:00:23.705Z,2020-08-23T19:36:08.000Z
